Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baseboatclening,"0,291482354966402","0,0870598960098232","1,68366201575933",0,0,0,"13,2107912938572","0,0958997996659019","1,00833029988145E-05","1,21620939710939E-06","0,13622584599347","-0,00147964544413288","0,124589315343275",0,0,0,0,0,0,package://boatcleaningg/meshes/baseboatclening.STL,1,1,1,1,0,0,0,0,0,0,package://boatcleaningg/meshes/baseboatclening.STL,,Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;assemblage axe mvp1-1/axe mvp laste version wihtout mince-1;assemblage axe mvp1-1/axe mvp laste version wih mince-2;assemblage axe mvp1-1/un bouchon-1;assemblage axe mvp1-1/un bouchon-3;assemblage axe mvp1-1/un bouchon-4;assemblage axe mvp1-1/un bouchon-5;assemblage axe mvp1-2/un bouchon-5;assemblage axe mvp1-2/un bouchon-4;assemblage axe mvp1-2/axe mvp laste version wihtout mince-1;assemblage axe mvp1-2/un bouchon-1;assemblage axe mvp1-2/axe mvp laste version wih mince-2;assemblage axe mvp1-2/un bouchon-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
axegauche,"0,00873527134160068","0,000331307956085491","0,0185037745550877",0,0,0,"0,260662654122487","0,000219882521629366","-1,97695515741402E-07","-2,05764499145904E-06","0,000170374195889187","-9,03282563397798E-07","0,00013115676220976",0,0,0,0,0,0,package://boatcleaningg/meshes/axegauche.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningg/meshes/axegauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/axe corps motor-2;Assemblage full bateau-2/corp motor avec axe-1/corps motor version 2-2;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5,Système_coordonnées_gauche,Axegauche,axegauchejoint,fixed,"0,690184331806614","-1,41938785829127","-0,119787998985034",0,0,"-1,5707963267949",baseboatclening,0,0,0,,,,,,,,,,,,
fangauche,"0,0121880649596051","-1,96166660693109E-09","4,45801809495494E-08",0,0,0,"0,00795785659641827","3,72710558894489E-06","2,12970220296124E-13","-8,34019260551591E-13","2,39331655167268E-06","-4,61638273535231E-10","2,39447831194732E-06",0,0,0,0,0,0,package://boatcleaningg/meshes/fangauche.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningg/meshes/fangauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/fans-3,Système_coordonnées_gauche,Axegauche,fangauchejoint,continuous,0,0,0,0,0,0,axegauche,1,0,0,,,,,,,,,,,,
axedroit,"0,00771927083304313","0,000331307880604745","0,0185037747944475",0,0,0,"0,260662649795333","0,000219882521227834","-1,97696190660657E-07","-2,05764496393914E-06","0,000170374195884343","-9,03282583437017E-07","0,000131156761551184",0,0,0,0,0,0,package://boatcleaningg/meshes/axedroit.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningg/meshes/axedroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/axe corps motor-2;Assemblage full bateau-1/corp motor avec axe-1/corps motor version 2-2;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5,Système de coordonnées3,AxeDroit,axedroitjoint,fixed,"-0,109815668193448","-1,42040385829127","-0,119787998985034",0,0,"-1,5707963267949",baseboatclening,0,0,0,,,,,,,,,,,,
fandroit,"0,0111720649596025","-1,96166083377136E-09","4,45801802001489E-08",0,0,0,"0,0079578565964185","3,72710558894501E-06","2,12970222312377E-13","-8,34019270266116E-13","2,39331655167276E-06","-4,61638273470576E-10","2,39447831194736E-06",0,0,0,0,0,0,package://boatcleaningg/meshes/fandroit.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningg/meshes/fandroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/fans-3,Système de coordonnées3,AxeDroit,fandroitjoint,continuous,0,0,0,0,0,0,axedroit,1,0,0,,,,,,,,,,,,
