Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baseboatclening,"-0,04784","2,4633E-05","0,14963",0,0,0,"13,329","0,12461","1,1446E-06","-0,0014794","0,095916","1,0063E-05","0,13623",0,0,0,0,0,0,package://boatcleaninge/meshes/baseboatclening.STL,1,1,1,1,0,0,0,0,0,0,package://boatcleaninge/meshes/baseboatclening.STL,,Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;assemblage axe mvp1-1/axe mvp laste version wihtout mince-1;assemblage axe mvp1-1/axe mvp laste version wih mince-2;assemblage axe mvp1-1/un bouchon-1;assemblage axe mvp1-1/un bouchon-3;assemblage axe mvp1-1/un bouchon-4;assemblage axe mvp1-1/un bouchon-5;assemblage axe mvp1-2/un bouchon-5;assemblage axe mvp1-2/un bouchon-4;assemblage axe mvp1-2/axe mvp laste version wihtout mince-1;assemblage axe mvp1-2/un bouchon-1;assemblage axe mvp1-2/axe mvp laste version wih mince-2;assemblage axe mvp1-2/un bouchon-3,scbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
axegauche,"0,0098838","5,5598E-05","0,0036051",0,0,0,"0,2016","0,00021153","-1,977E-07","-2,0576E-06","0,00016202","-9,0328E-07","0,00013067",0,0,0,0,0,0,package://boatcleaninge/meshes/axegauche.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://boatcleaninge/meshes/axegauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/axe corps motor-2;Assemblage full bateau-2/corp motor avec axe-1/corps motor version 2-2,Système_coordonnées_gauche,Axegauche,axegauchejoint,fixed,"-0,30981","0,39873","-0,056",0,0,0,baseboatclening,0,0,0,,,,,,,,,,,,
fangauche,"0,0121880649596053","-1,96166671795339E-09","4,45801810883273E-08",0,0,0,"0,00795785659641835","3,72710558894494E-06","2,12970220916509E-13","-8,34019263853851E-13","2,3933165516727E-06","-4,61638273541746E-10","2,39447831194735E-06",0,0,0,0,0,0,package://boatcleaninge/meshes/fangauche.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaninge/meshes/fangauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/fans-3,Système_coordonnées_gauche,Axegauche,fangauchejoint,continuous,0,0,0,0,0,0,axegauche,1,0,0,,,,,,,,,,,,
axedroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://boatcleaninge/meshes/axedroit.STL,1,1,1,1,0,0,0,0,0,0,package://boatcleaninge/meshes/axedroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/axe corps motor-2;Assemblage full bateau-1/corp motor avec axe-1/corps motor version 2-2,Système de coordonnées3,AxeDroit,axedroitjoint,fixed,"-0,3088","-0,40127","-0,056",0,0,0,baseboatclening,0,0,0,,,,,,,,,,,,
fandroit,"0,0111720649596023","-1,96166084764915E-09","4,45801802140267E-08",0,0,0,"0,00795785659641851","3,72710558894501E-06","2,12970221640292E-13","-8,34019269810521E-13","2,39331655167276E-06","-4,61638273471348E-10","2,39447831194736E-06",0,0,0,0,0,0,package://boatcleaninge/meshes/fandroit.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaninge/meshes/fandroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/fans-3,Système de coordonnées3,AxeDroit,fandroitjoint,continuous,0,0,0,0,0,0,axedroit,1,0,0,,,,,,,,,,,,
